firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender
name130,lastname130,July,18,2000,BS Management,0927 384 8421,Female
name131,lastname131,February,23,1999,BS Communications Technology,0927 278 9317,Female
name132,lastname132,September,10,1999,BS Legal Management,0927 450 3540,Male
name133,lastname133,April,18,1999,BS Communications Technology,0927 150 7228,Female
name134,lastname134,May,7,2000,BS Management,0918 995 5243,Female
name135,lastname135,October,3,1999,BS Communications Technology,0927 949 9628,Female
name136,lastname136,October,5,2000,BS Management,0927 558 1218,Male
name137,lastname137,June,5,1998,BS Management Engineering,0918 191 7948,Female
name138,lastname138,February,5,1997,BS Information Technology Entrepreneurship,0918 636 6121,Male
name139,lastname139,April,8,1999,BS Information Technology Entrepreneurship,0918 532 3276,Male
name140,lastname140,September,2,1999,BS Management Engineering,0927 795 1469,Male
name141,lastname141,June,8,1998,BS Legal Management,0927 430 8948,Male
name142,lastname142,December,3,1999,BS Legal Management,0918 659 4663,Female
name143,lastname143,November,15,1999,BS Management Engineering,0927 716 8308,Female
name144,lastname144,October,14,1998,BS Management Engineering,0917 855 4111,Male
name145,lastname145,February,9,2001,BS Management,0918 256 2335,Male
name146,lastname146,September,11,1998,BS Management,0927 248 8520,Male
name147,lastname147,December,6,1999,BS Legal Management,0917 856 9506,Male
name148,lastname148,November,13,2000,BS Legal Management,0927 989 2750,Female
name149,lastname149,September,18,1997,BS Management,0927 124 4294,Male
name150,lastname150,August,5,1997,BS Management Engineering,0918 162 5544,Female
name151,lastname151,May,17,1998,BS Legal Management,0918 469 2092,Female
name152,lastname152,March,15,1999,BS Legal Management,0927 145 1261,Female
name153,lastname153,November,2,1999,BS Management Engineering,0927 415 2246,Male
name154,lastname154,August,2,1999,BS Management,0918 331 9863,Female
name155,lastname155,December,14,1999,BS Legal Management,0918 649 2584,Female
name156,lastname156,April,3,1998,BS Management,0918 146 7027,Female
name157,lastname157,August,13,1997,BS Management Engineering,0927 475 9634,Male
name158,lastname158,January,28,1999,BS Legal Management,0927 594 6138,Female
name159,lastname159,October,12,1998,BS Management,0927 653 5975,Female
name160,lastname160,December,25,2000,BS Communications Technology,0917 137 6557,Female
name161,lastname161,January,1,2000,BS Communications Technology,0917 289 3619,Male
name162,lastname162,January,26,2000,BS Communications Technology,0917 388 6944,Male
name163,lastname163,April,17,1999,BS Information Technology Entrepreneurship,0917 307 3272,Female
name164,lastname164,May,25,1997,BS Information Technology Entrepreneurship,0917 925 9571,Male
name165,lastname165,August,12,1998,BS Management,0918 281 2519,Male
name166,lastname166,February,16,1999,BS Management Engineering,0918 536 9523,Female
name167,lastname167,April,4,2000,BS Management,0918 705 3266,Female
name168,lastname168,July,5,1997,BS Management Engineering,0927 511 1039,Female
name169,lastname169,April,13,1998,BS Management Engineering,0918 284 3059,Female
name170,lastname170,June,9,2000,BS Information Technology Entrepreneurship,0927 797 7430,Female
name171,lastname171,August,17,1997,BS Legal Management,0918 227 4954,Female
name172,lastname172,September,24,2000,BS Communications Technology,0917 308 1448,Female
name173,lastname173,August,13,1998,BS Management Engineering,0917 180 6600,Female
name174,lastname174,October,19,1998,BS Management Engineering,0927 185 5392,Male
name175,lastname175,June,1,1999,BS Management Engineering,0917 492 1000,Female
name176,lastname176,June,9,1999,BS Information Technology Entrepreneurship,0927 787 2528,Female
name177,lastname177,July,1,2001,BS Management Engineering,0927 614 7614,Male
name178,lastname178,June,12,2001,BS Information Technology Entrepreneurship,0917 735 9355,Female
name179,lastname179,May,4,1998,BS Legal Management,0927 728 7081,Male
name180,lastname180,March,22,1999,BS Information Technology Entrepreneurship,0917 257 4982,Male
name181,lastname181,March,27,1999,BS Management Engineering,0917 744 6240,Female
name182,lastname182,June,2,1998,BS Communications Technology,0917 502 7471,Male
name183,lastname183,June,17,1997,BS Management,0918 582 2278,Female
name184,lastname184,December,23,1998,BS Information Technology Entrepreneurship,0927 891 4782,Female
name185,lastname185,April,18,1997,BS Management Engineering,0917 248 5615,Male
name186,lastname186,November,19,1997,BS Management Engineering,0918 859 3958,Female
name187,lastname187,April,18,2001,BS Legal Management,0917 575 5267,Male
name188,lastname188,September,2,1997,BS Management Engineering,0918 621 4437,Male
name189,lastname189,December,7,2000,BS Management,0918 447 8973,Female
name190,lastname190,July,6,1997,BS Management,0918 409 2087,Male
name191,lastname191,May,7,1999,BS Legal Management,0918 742 1522,Male
name192,lastname192,July,9,1999,BS Information Technology Entrepreneurship,0917 222 5936,Male
name193,lastname193,May,25,1997,BS Management Engineering,0918 730 6896,Female
name194,lastname194,September,2,1998,BS Legal Management,0917 399 8033,Male
name195,lastname195,July,15,2001,BS Management Engineering,0917 818 9641,Female
name196,lastname196,May,6,2001,BS Management Engineering,0927 486 8768,Male
name197,lastname197,October,24,2001,BS Management Engineering,0918 708 8549,Female
name198,lastname198,June,15,1997,BS Legal Management,0927 642 6498,Female
name199,lastname199,January,4,1999,BS Communications Technology,0927 536 3811,Female
name200,lastname200,November,13,1998,BS Management,0918 621 7426,Female
name201,lastname201,October,27,1997,BS Management,0917 681 9326,Female
name202,lastname202,April,15,2000,BS Management,0918 341 5085,Female
name203,lastname203,March,25,1998,BS Management Engineering,0918 419 5644,Female
name204,lastname204,November,4,1997,BS Information Technology Entrepreneurship,0927 383 5918,Male
name205,lastname205,March,12,2000,BS Management,0917 173 4981,Female
name206,lastname206,December,19,1997,BS Management Engineering,0917 309 4697,Female
name207,lastname207,November,27,2000,BS Information Technology Entrepreneurship,0918 744 5680,Male
name208,lastname208,October,20,1999,BS Communications Technology,0918 314 3702,Male
name209,lastname209,March,16,1999,BS Communications Technology,0917 764 8372,Female
name210,lastname210,April,2,1998,BS Information Technology Entrepreneurship,0927 750 7712,Female
name211,lastname211,January,26,1999,BS Management,0927 744 7095,Female
name212,lastname212,November,2,1999,BS Management,0917 600 5892,Male
name213,lastname213,August,23,1999,BS Management,0918 482 4436,Female
name214,lastname214,June,8,1999,BS Communications Technology,0917 229 1656,Female
name215,lastname215,November,1,1998,BS Communications Technology,0917 129 7511,Female
name216,lastname216,October,23,1999,BS Legal Management,0927 931 6222,Female
name217,lastname217,May,2,1998,BS Management Engineering,0917 510 8517,Male
name218,lastname218,April,19,2001,BS Communications Technology,0927 859 9615,Female
name219,lastname219,May,28,1997,BS Information Technology Entrepreneurship,0918 883 3812,Female
name220,lastname220,March,25,2001,BS Management,0927 855 3696,Female
name221,lastname221,July,12,2001,BS Management Engineering,0917 869 1592,Male
name222,lastname222,September,5,1999,BS Legal Management,0927 390 2398,Male
name223,lastname223,February,9,1997,BS Management,0918 250 3159,Male
name224,lastname224,December,18,2001,BS Management,0917 914 1992,Female
name225,lastname225,February,27,1998,BS Management Engineering,0917 168 1549,Male
name226,lastname226,March,12,1997,BS Legal Management,0918 812 9824,Female
name227,lastname227,October,8,1997,BS Management,0918 676 3675,Female
name228,lastname228,November,16,1999,BS Management,0927 616 9286,Female
name229,lastname229,June,11,1999,BS Legal Management,0927 975 8823,Male
name230,lastname230,December,4,1997,BS Communications Technology,0917 559 2469,Female
name231,lastname231,May,22,1998,BS Information Technology Entrepreneurship,0927 597 2823,Male
name232,lastname232,April,17,2000,BS Management,0917 418 9979,Male
name233,lastname233,June,13,2001,BS Management Engineering,0927 523 4422,Male
name234,lastname234,February,6,1997,BS Communications Technology,0917 911 6706,Male
name235,lastname235,July,7,1999,BS Management,0918 656 9527,Male
name236,lastname236,October,23,1998,BS Management,0917 251 3024,Male
name237,lastname237,December,14,1998,BS Legal Management,0927 940 8616,Male
name238,lastname238,March,4,2000,BS Communications Technology,0917 261 3868,Male
name239,lastname239,February,5,1997,BS Legal Management,0927 976 2990,Male
name240,lastname240,April,21,2001,BS Legal Management,0917 962 2388,Male
name241,lastname241,September,7,2000,BS Communications Technology,0917 560 3594,Female
name242,lastname242,June,1,1998,BS Information Technology Entrepreneurship,0917 267 6749,Female
name243,lastname243,November,19,1998,BS Communications Technology,0918 388 9243,Male
name244,lastname244,January,1,2000,BS Communications Technology,0918 418 8388,Male
name245,lastname245,March,5,1999,BS Management Engineering,0918 387 4071,Female
name246,lastname246,January,26,1998,BS Communications Technology,0918 871 2841,Female
name247,lastname247,August,3,1998,BS Management,0917 242 3611,Female
name248,lastname248,March,22,1998,BS Legal Management,0917 213 2389,Male
name249,lastname249,December,9,2000,BS Management Engineering,0917 548 3044,Male
name250,lastname250,May,24,2001,BS Management Engineering,0927 264 6574,Female
name251,lastname251,January,9,2000,BS Communications Technology,0917 582 8763,Female
name252,lastname252,December,6,2001,BS Management,0927 800 6849,Male
name253,lastname253,April,18,1997,BS Management Engineering,0918 414 2565,Female
name254,lastname254,August,3,1997,BS Communications Technology,0917 984 6143,Female
name255,lastname255,January,6,2001,BS Management Engineering,0927 234 8693,Male
name256,lastname256,December,7,1997,BS Management,0918 944 9432,Male
name257,lastname257,April,19,1997,BS Information Technology Entrepreneurship,0917 996 8937,Female
name258,lastname258,June,7,2001,BS Information Technology Entrepreneurship,0917 169 7326,Female
name259,lastname259,March,20,1999,BS Information Technology Entrepreneurship,0927 916 1852,Male
name260,lastname260,November,15,2000,BS Communications Technology,0917 843 5692,Male
name261,lastname261,June,4,1997,BS Legal Management,0918 456 7658,Male
name262,lastname262,July,26,1998,BS Communications Technology,0917 771 4152,Female
name263,lastname263,January,1,2000,BS Management,0917 773 4858,Male
name264,lastname264,November,1,2001,BS Information Technology Entrepreneurship,0918 108 6505,Male
name265,lastname265,November,26,2001,BS Management,0918 332 9306,Female
name266,lastname266,December,5,1997,BS Management,0917 551 8922,Female
name267,lastname267,July,5,1999,BS Legal Management,0917 537 9153,Male
name268,lastname268,October,21,1999,BS Management Engineering,0927 373 9092,Female
name269,lastname269,October,18,2001,BS Legal Management,0918 441 7553,Female
name270,lastname270,April,24,1998,BS Information Technology Entrepreneurship,0927 395 8754,Female
name271,lastname271,March,25,1997,BS Management Engineering,0918 351 3825,Female
name272,lastname272,July,27,1997,BS Information Technology Entrepreneurship,0917 275 1598,Female
name273,lastname273,August,7,1999,BS Communications Technology,0927 511 6858,Female
name274,lastname274,January,5,1997,BS Management,0917 580 5437,Female
name275,lastname275,April,20,1998,BS Communications Technology,0917 418 9759,Male
name276,lastname276,January,12,2001,BS Information Technology Entrepreneurship,0917 559 3566,Female
name277,lastname277,December,24,1999,BS Legal Management,0927 416 3898,Female
name278,lastname278,February,8,1997,BS Management,0917 735 6446,Female
name279,lastname279,October,12,1998,BS Legal Management,0927 359 4345,Female
name280,lastname280,November,15,2000,BS Management,0918 183 9884,Female
name281,lastname281,February,12,1997,BS Management,0918 541 2404,Male
name282,lastname282,March,23,1998,BS Management,0918 393 1948,Male
name283,lastname283,November,3,1997,BS Information Technology Entrepreneurship,0918 927 3119,Female
name284,lastname284,August,13,1999,BS Communications Technology,0927 868 4707,Male
name285,lastname285,September,17,1998,BS Communications Technology,0927 419 8095,Male
name286,lastname286,December,28,1999,BS Information Technology Entrepreneurship,0927 907 8179,Male
name287,lastname287,February,18,1998,BS Communications Technology,0917 992 5274,Male
name288,lastname288,April,4,2001,BS Information Technology Entrepreneurship,0917 527 6893,Female
name289,lastname289,October,15,1997,BS Management Engineering,0917 756 9357,Male
name290,lastname290,July,8,1997,BS Management Engineering,0918 927 4291,Female
name291,lastname291,December,27,2000,BS Management,0918 974 1369,Female
name292,lastname292,January,25,1999,BS Communications Technology,0917 878 8313,Female
name293,lastname293,March,1,1999,BS Management Engineering,0927 608 4808,Male
name294,lastname294,January,14,1998,BS Legal Management,0918 983 8521,Male
name295,lastname295,November,19,1999,BS Information Technology Entrepreneurship,0918 345 5057,Male
name296,lastname296,April,26,1999,BS Management,0927 416 2499,Male
name297,lastname297,November,10,2000,BS Legal Management,0917 620 1837,Female
name298,lastname298,January,8,1999,BS Management,0927 291 3676,Female
name299,lastname299,February,18,1998,BS Management,0927 348 6668,Male
name300,lastname300,May,22,1997,BS Communications Technology,0918 815 5153,Male
name301,lastname301,April,27,1999,BS Legal Management,0927 285 5378,Female
name302,lastname302,May,1,2001,BS Legal Management,0918 511 3241,Female
name303,lastname303,December,18,1997,BS Legal Management,0917 739 1115,Male
name304,lastname304,September,18,2000,BS Communications Technology,0918 533 7507,Male
name305,lastname305,January,15,1997,BS Management,0917 641 8911,Male
name306,lastname306,March,3,1998,BS Legal Management,0917 155 3009,Female
name307,lastname307,February,12,2000,BS Information Technology Entrepreneurship,0918 386 6738,Male
name308,lastname308,December,13,1998,BS Communications Technology,0927 827 6122,Male
name309,lastname309,November,8,1998,BS Management,0917 132 5014,Male
name310,lastname310,August,21,1998,BS Information Technology Entrepreneurship,0918 225 1879,Male
name311,lastname311,June,23,1998,BS Management Engineering,0918 704 4147,Male
name312,lastname312,May,16,1999,BS Management Engineering,0918 284 8832,Female
name313,lastname313,August,8,1997,BS Information Technology Entrepreneurship,0917 379 9404,Female
name314,lastname314,July,19,1998,BS Management,0918 131 5008,Male
name315,lastname315,December,19,1998,BS Legal Management,0917 656 2606,Female
name316,lastname316,April,14,2001,BS Communications Technology,0927 212 2224,Male
name317,lastname317,September,16,1997,BS Management Engineering,0918 458 4727,Male
name318,lastname318,March,5,1999,BS Communications Technology,0917 462 5719,Male
name319,lastname319,August,10,2000,BS Management Engineering,0927 239 1604,Male
name320,lastname320,July,21,1997,BS Management,0917 854 8646,Male
name321,lastname321,August,26,1997,BS Communications Technology,0927 414 7766,Female
name322,lastname322,June,14,1999,BS Legal Management,0918 600 7855,Female
name323,lastname323,June,8,1998,BS Management,0917 308 8490,Male
name324,lastname324,July,21,1998,BS Management Engineering,0918 788 7131,Male
name325,lastname325,March,24,1998,BS Management Engineering,0917 557 5935,Female
name326,lastname326,February,24,2000,BS Communications Technology,0918 561 3677,Female
name327,lastname327,July,16,1997,BS Information Technology Entrepreneurship,0917 604 7756,Male
name328,lastname328,June,1,1999,BS Information Technology Entrepreneurship,0917 992 5461,Female
name329,lastname329,December,5,1997,BS Information Technology Entrepreneurship,0918 451 8833,Female
name330,lastname330,July,3,1998,BS Information Technology Entrepreneurship,0918 158 9284,Male
name331,lastname331,January,26,1998,BS Management,0927 146 5990,Female
name332,lastname332,April,18,1999,BS Legal Management,0918 299 4084,Female
name333,lastname333,June,17,2000,BS Communications Technology,0927 779 3123,Male
name334,lastname334,January,2,1998,BS Legal Management,0927 182 1332,Male
name335,lastname335,May,21,1999,BS Communications Technology,0918 169 5036,Female
name336,lastname336,April,11,1999,BS Information Technology Entrepreneurship,0918 152 3167,Male
name337,lastname337,December,8,1998,BS Management,0927 503 8110,Male
name338,lastname338,September,20,2001,BS Communications Technology,0927 746 2862,Male
name339,lastname339,April,22,2000,BS Information Technology Entrepreneurship,0918 233 2323,Female
name340,lastname340,June,4,1999,BS Legal Management,0917 685 3086,Female
name341,lastname341,August,22,1999,BS Management,0917 949 6688,Female
name342,lastname342,July,2,1999,BS Management,0917 306 7389,Male
name343,lastname343,December,18,1998,BS Legal Management,0917 431 1238,Male
name344,lastname344,July,13,2000,BS Information Technology Entrepreneurship,0918 185 7288,Male
name345,lastname345,April,19,1999,BS Information Technology Entrepreneurship,0918 269 8208,Male
name346,lastname346,July,19,2000,BS Information Technology Entrepreneurship,0917 816 8886,Female
name347,lastname347,March,21,1998,BS Information Technology Entrepreneurship,0918 386 4602,Male
name348,lastname348,January,13,1997,BS Information Technology Entrepreneurship,0917 728 4754,Female
name349,lastname349,February,18,1999,BS Management Engineering,0918 636 8281,Female
name350,lastname350,September,17,1997,BS Management Engineering,0917 301 6396,Male
name351,lastname351,December,21,1997,BS Legal Management,0917 683 8576,Female
name352,lastname352,February,28,1997,BS Management,0917 897 3550,Male
name353,lastname353,June,11,2001,BS Communications Technology,0927 205 9262,Female
name354,lastname354,February,16,1997,BS Information Technology Entrepreneurship,0918 120 1113,Female
name355,lastname355,April,1,1999,BS Communications Technology,0927 831 9943,Female
name356,lastname356,July,26,2001,BS Management,0918 111 2365,Male
name357,lastname357,August,5,1997,BS Communications Technology,0927 733 6775,Male
name358,lastname358,August,17,1999,BS Information Technology Entrepreneurship,0917 354 8160,Female
name359,lastname359,December,18,2000,BS Management,0927 612 3910,Female
name360,lastname360,May,11,1999,BS Management,0927 228 4106,Male
name361,lastname361,February,9,2001,BS Legal Management,0918 211 1764,Male
name362,lastname362,September,27,2001,BS Management Engineering,0917 340 3848,Male
name363,lastname363,October,21,1997,BS Management,0927 317 3533,Male
name364,lastname364,January,8,1997,BS Management,0927 592 8138,Female
name365,lastname365,July,6,1999,BS Management Engineering,0917 102 3528,Female
name366,lastname366,November,13,1997,BS Information Technology Entrepreneurship,0918 384 3861,Male
name367,lastname367,May,15,1998,BS Information Technology Entrepreneurship,0917 277 1823,Male
name368,lastname368,June,22,2000,BS Information Technology Entrepreneurship,0927 594 7966,Male
name369,lastname369,March,1,2000,BS Management Engineering,0927 195 7539,Male
name370,lastname370,September,3,2001,BS Information Technology Entrepreneurship,0927 126 8314,Female
name371,lastname371,January,26,1998,BS Legal Management,0927 788 6832,Female
name372,lastname372,August,25,1997,BS Communications Technology,0917 768 3190,Female
name373,lastname373,April,4,1998,BS Communications Technology,0927 499 8056,Male
name374,lastname374,March,6,1998,BS Communications Technology,0917 196 2990,Male
name375,lastname375,August,21,1999,BS Information Technology Entrepreneurship,0918 187 3716,Male
name376,lastname376,April,24,1998,BS Management Engineering,0917 691 7182,Male
name377,lastname377,February,9,1998,BS Information Technology Entrepreneurship,0927 256 3795,Female
name378,lastname378,December,5,1999,BS Communications Technology,0927 176 7320,Male
name379,lastname379,January,26,1997,BS Communications Technology,0927 360 1774,Male
name380,lastname380,March,12,1998,BS Management,0927 990 1362,Female
name381,lastname381,November,21,1998,BS Management,0918 334 8614,Female
name382,lastname382,June,14,1999,BS Information Technology Entrepreneurship,0917 688 8237,Female
name383,lastname383,July,27,1999,BS Management Engineering,0927 547 7228,Female
name384,lastname384,February,6,1997,BS Legal Management,0927 731 1675,Male
name385,lastname385,September,18,1998,BS Legal Management,0918 389 8961,Male
name386,lastname386,October,6,1999,BS Management Engineering,0927 568 4260,Female
name387,lastname387,June,16,1999,BS Management,0927 477 1635,Female
name388,lastname388,January,2,2000,BS Information Technology Entrepreneurship,0917 261 6867,Female
name389,lastname389,September,24,1999,BS Communications Technology,0927 508 2670,Female
name390,lastname390,January,21,2000,BS Management Engineering,0917 293 6725,Male
name391,lastname391,December,16,2000,BS Management,0927 487 4223,Female
name392,lastname392,August,2,1999,BS Information Technology Entrepreneurship,0917 763 4974,Male
name393,lastname393,June,28,1998,BS Legal Management,0917 793 6625,Female
